draw	predicate	seed	normalized_mdl	bits_per_label
0	believes	2026	0.0889556999012853	0.08614503274609922
0	believes	2027	0.088190216299707	0.08540373556112128
0	believes	2028	0.07901339119797453	0.07651686378369461
0	believes	2029	0.07923092604202692	0.07672752534090913
0	believes	2030	0.08352707091106915	0.08088792811258448
0	justified	2026	0.08599564714097716	0.08045192120968703
0	justified	2027	0.10894896221328997	0.10192554641157128
0	justified	2028	0.10385736078562843	0.09716217604914085
0	justified	2029	0.09068860487195168	0.08484234651800297
0	justified	2030	0.10316015681301849	0.09650991746470876
0	knows	2026	0.10510279300490072	0.09420271569962117
0	knows	2027	0.14272078253208534	0.12791939126366125
0	knows	2028	0.11749075176949414	0.10530593497891484
0	knows	2029	0.112030921996859	0.10041233722442039
0	knows	2030	0.11232005650889273	0.1006714859630728
0	true	2026	0.09338741715775768	0.0876060163249392
0	true	2027	0.11754160693998106	0.11026487561004537
0	true	2028	0.10590509075893138	0.09934874945998431
0	true	2029	0.10554605345509152	0.09901193933225243
0	true	2030	0.11047203052973577	0.10363296046284605
0	lucky_guessed	2026	0.26800013160574465	0.24279263932941625
0	lucky_guessed	2027	0.15232935039319373	0.13800159278916632
0	lucky_guessed	2028	0.1740657146539715	0.15769348329936753
0	lucky_guessed	2029	0.1395664576372859	0.12643914914737103
0	lucky_guessed	2030	0.1873102487303147	0.16969226615748323
1	believes	2026	0.08828120047093461	0.08765951229196565
1	believes	2027	0.10292955815412361	0.1022047142549745
1	believes	2028	0.10617083304321222	0.10542316364698574
1	believes	2029	0.10163125644814736	0.10091555536557795
1	believes	2030	0.09055533080127172	0.08991762788829073
1	justified	2026	0.09870548911700358	0.091009352639643
1	justified	2027	0.08862998867038568	0.08171944605622924
1	justified	2028	0.10926808316292579	0.10074837379149838
1	justified	2029	0.1098208837342486	0.10125807211309099
1	justified	2030	0.10958984455778106	0.10104504722386946
1	knows	2026	0.1361763150285459	0.12149905453441043
1	knows	2027	0.11966720347147274	0.10676931651082665
1	knows	2028	0.12846660446852082	0.11462030661425525
1	knows	2029	0.1267717769905464	0.11310814984800947
1	knows	2030	0.12997722439257725	0.11596810995652683
1	true	2026	0.11702127728123407	0.10892108614866089
1	true	2027	0.10484165941827554	0.09758453917762712
1	true	2028	0.12859708024809005	0.11969561417882997
1	true	2029	0.11293365914525444	0.10511641218273021
1	true	2030	0.12940132606954627	0.12044419025352968
1	lucky_guessed	2026	0.15374271641687673	0.1479179774971936
1	lucky_guessed	2027	0.18862181015936447	0.18147563228283173
1	lucky_guessed	2028	0.17184332662838772	0.1653328230024071
1	lucky_guessed	2029	0.13102085808794775	0.1260569657541749
1	lucky_guessed	2030	0.12962132582973931	0.1247104565607576
2	believes	2026	0.08051240698293129	0.07687893183741588
2	believes	2027	0.115427382847539	0.1102182164295317
2	believes	2028	0.10779547266605602	0.10293072963565283
2	believes	2029	0.09878139566044822	0.0943234523518144
2	believes	2030	0.10211447266410459	0.09750610965117051
2	justified	2026	0.08834916490798639	0.08604071852749459
2	justified	2027	0.09711523601487633	0.0945777438348129
2	justified	2028	0.07732284273248752	0.07530249951112208
2	justified	2029	0.10987024988665206	0.10699948612857103
2	justified	2030	0.08567569621177816	0.08343710401883354
2	knows	2026	0.11611904559786751	0.10913254258197234
2	knows	2027	0.1106050303324332	0.10395028757243145
2	knows	2028	0.09782269695302173	0.09193702536687982
2	knows	2029	0.12487030907744	0.11735727117333479
