draw	predicate	normalized_mdl	bits_per_label
0	believes	0.0889556999012853	0.08614503274609922
0	justified	0.08599564714097716	0.08045192120968703
0	knows	0.10510279300490072	0.09420271569962117
0	true	0.09338741715775768	0.0876060163249392
0	lucky_guessed	0.26800013160574465	0.24279263932941625
1	believes	0.08828120047093461	0.08765951229196565
1	justified	0.09870548911700358	0.091009352639643
1	knows	0.1361763150285459	0.12149905453441043
1	true	0.11702127728123407	0.10892108614866089
1	lucky_guessed	0.15374271641687673	0.1479179774971936
2	believes	0.08051240698293129	0.07687893183741588
2	justified	0.08834916490798639	0.08604071852749459
2	knows	0.11611904559786751	0.10913254258197234
2	true	0.10338322470416964	0.10039556121293335
2	lucky_guessed	0.14883326295683627	0.13575539409416978
3	believes	0.06451617438494489	0.06533157880262122
3	justified	0.11164495211988823	0.10425544366554841
3	knows	0.11846667677571301	0.10688894870678939
3	true	0.11458735105840477	0.10801776942937098
3	lucky_guessed	0.20677322911481436	0.18692772155275134
4	believes	0.10369268133759149	0.1016609527531708
4	justified	0.07450271253897253	0.07137817352809338
4	knows	0.09186414754325396	0.08535056782681742
4	true	0.10421706677963373	0.10021035947496765
4	lucky_guessed	0.21803003576004365	0.1887116606142231
5	believes	0.07270994522994353	0.07259824581269066
5	justified	0.10427577861218486	0.0985020053321854
5	knows	0.12514028428650262	0.11376240553299118
5	true	0.10779699657621868	0.10219485651533326
5	lucky_guessed	0.16791007869155503	0.14659486704309088
6	believes	0.09503554867231812	0.09283514912519693
6	justified	0.07009865070963482	0.06714605172606845
6	knows	0.08495674311070386	0.07837738688758204
6	true	0.08191717944016068	0.07891892039800125
6	lucky_guessed	0.1925990612272762	0.1734331974999519
7	believes	0.1364818913645389	0.1305373975686259
7	justified	0.07341314889637744	0.07008058641510581
7	knows	0.0785323971821725	0.07259231657790033
7	true	0.10167759888174896	0.09741842371150213
7	lucky_guessed	0.1588897895283509	0.1401489374058675
8	believes	0.11287129719523513	0.11220008034606882
8	justified	0.1316822503673163	0.12277279362160767
8	knows	0.12924615485042074	0.1167025436743187
8	true	0.11577502940424665	0.10885821208853311
8	lucky_guessed	0.16101418600668954	0.13995699938446118
9	believes	0.10523200489481338	0.09919787846562958
9	justified	0.08616295673237585	0.081581340769601
9	knows	0.10754201921945944	0.0983501891412529
9	true	0.11128652856017394	0.10563947492053885
9	lucky_guessed	0.13413772230014354	0.12055052552762578
10	believes	0.09431722983822692	0.09376550526190865
10	justified	0.10268500128647937	0.09501495678291326
10	knows	0.11858066462696283	0.10540181963141525
10	true	0.11156832015535133	0.10383864600458705
10	lucky_guessed	0.15520079185104857	0.14651446159836842
11	believes	0.10523858587561137	0.10216933156257782
11	justified	0.10072815056848673	0.09456042247198608
11	knows	0.10505587826036981	0.0946901945905821
11	true	0.08324563655491368	0.07891437153403659
11	lucky_guessed	0.16479864686430348	0.14708851292892558
12	believes	0.0841647112725423	0.08271109883986676
12	justified	0.10950495233424444	0.10218710181589707
12	knows	0.14448103549596675	0.13101875630925935
12	true	0.125228585559744	0.11731909337409209
12	lucky_guessed	0.16143652489124152	0.1464468273111248
13	believes	0.10093134928771058	0.10076191200461035
13	justified	0.11079353462587804	0.10757309669810465
13	knows	0.13038591158721158	0.12236000070338467
13	true	0.11195935243112447	0.10935797509101902
13	lucky_guessed	0.19497596543990448	0.16745942436604117
14	believes	0.09753214612227053	0.09404684183428744
